protocol,metric,exponent
aggregatable2025,deal_ms,0.92
aggregatable2025,verify_ms,0.96
aggregatable2025,keygen_ms,2.0
aggregatable2025,total_bytes,3.01
btsof,deal_ms,1.0
btsof,verify_ms,1.07
btsof,keygen_ms,1.98
btsof,total_bytes,3.04
gurkan,deal_ms,0.84
gurkan,verify_ms,1.0
gurkan,keygen_ms,0.68
gurkan,total_bytes,1.97
kalai2022,deal_ms,1.0
kalai2022,verify_ms,1.06
kalai2022,keygen_ms,2.0
kalai2022,total_bytes,3.04
neji,deal_ms,0.95
neji,verify_ms,1.08
neji,keygen_ms,1.96
neji,total_bytes,3.0
