series,num_malicious,complaint_ms,keygen_ms,verify_ms,deal_ms,faulty_count,complaints,qual,reconstructed_ok
aggregatable2025_mixed,0,0.0014,3193.8314,365.2547,235.2863,0,0,64,true
aggregatable2025_mixed,2,47.7555,3107.7032,361.0983,234.0899,1,1,62,true
aggregatable2025_mixed,8,191.4096,2779.1290,347.8274,236.3870,4,4,56,true
aggregatable2025_mixed,16,393.3539,2431.8756,348.7985,241.0721,8,8,48,true
aggregatable2025_mixed,31,732.6747,1659.4358,310.5001,234.5153,16,15,33,true
aggregatable2025_xy,0,0.0014,3393.3507,391.2649,247.4445,0,0,64,true
aggregatable2025_xy,2,95.5355,3083.8852,364.4792,234.1631,0,2,62,true
aggregatable2025_xy,8,407.7308,2949.6157,388.8123,248.8579,0,8,56,true
aggregatable2025_xy,16,777.0611,2408.4624,367.9558,234.6556,0,16,48,true
aggregatable2025_xy,31,1501.9209,1650.4200,365.4134,233.7285,0,31,33,true
aggregatable2025_z,0,0.0014,3174.6952,363.5630,231.8453,0,0,64,true
aggregatable2025_z,2,0.0015,3112.6717,357.4248,231.0927,2,0,62,true
aggregatable2025_z,8,0.0021,2950.5836,357.6660,248.0165,8,0,56,true
aggregatable2025_z,16,0.0013,2382.9900,303.2000,230.0290,16,0,48,true
aggregatable2025_z,31,0.0024,1740.0789,263.6088,245.5682,31,0,33,true
btsof,0,0.0015,1826.5528,38.4262,121.9770,0,0,64,true
btsof,2,45.0360,1875.7247,40.6064,128.8320,0,2,62,true
btsof,8,180.9073,1695.6232,40.2579,128.3466,0,8,56,true
btsof,16,342.5085,1380.1877,38.4196,120.1760,0,16,48,true
btsof,31,673.8218,963.2521,38.8198,123.3619,0,31,33,true
gurkan,0,0.0000,21.4687,315.1708,59.6484,0,0,64,true
gurkan,2,0.0000,21.5902,310.4979,60.2489,2,0,62,true
gurkan,8,0.0000,21.4805,286.3598,59.2942,8,0,56,true
gurkan,16,0.0000,21.4633,257.9053,59.7919,16,0,48,true
gurkan,31,0.0000,22.7980,213.1846,62.8046,31,0,33,true
kalai2022,0,0.0020,2987.2706,53.5786,175.4498,0,0,64,true
kalai2022,2,43.5614,2862.1941,50.5709,165.1803,0,2,62,true
kalai2022,8,180.5831,2706.2753,53.2332,172.9715,0,8,56,true
kalai2022,16,362.3513,2322.5999,52.9168,174.1734,0,16,48,true
kalai2022,31,666.0863,1524.4310,50.2911,164.5274,0,31,33,true
neji,0,0.0009,364.8515,7.5855,19.8856,0,0,64,true
neji,2,0.3933,377.7763,7.6703,20.1022,0,2,62,true
neji,8,1.6226,321.4698,7.7557,20.0161,0,8,56,true
neji,16,3.2198,275.0544,7.5683,20.0763,0,16,48,true
neji,31,6.7168,201.3775,8.0796,21.2146,0,31,33,true
