protocol,n,deal_ms,verify_ms,complaint_ms,keygen_ms,total_bytes,total_messages
aggregatable2025,8,34.4000,49.5823,0.0003,51.3794,205184,63
aggregatable2025,16,60.9167,91.6303,0.0004,197.5453,1657920,255
aggregatable2025,32,121.0095,186.9144,0.0007,807.5650,13318592,1023
aggregatable2025,64,226.6474,356.1791,0.0008,3239.6192,106755264,4095
btsof,8,16.4360,4.4117,0.0004,29.9903,195328,56
btsof,16,32.0632,9.1846,0.0006,114.2303,1635840,240
btsof,32,62.8240,18.4484,0.0008,465.6972,13364224,992
btsof,64,131.8116,41.3886,0.0015,1834.2780,107993088,4032
gurkan,8,11.2007,43.0906,0.0000,5.4958,11648,7
gurkan,16,17.9378,81.0522,0.0000,7.7741,45120,15
gurkan,32,33.4222,168.7179,0.0000,12.7145,176576,31
gurkan,64,63.3382,336.3393,0.0000,22.4830,697536,63
kalai2022,8,21.6528,5.9065,0.0004,46.8722,252672,56
kalai2022,16,41.9966,11.5862,0.0006,181.4842,2127360,240
kalai2022,32,88.7764,25.6488,0.0009,786.9532,17427456,992
kalai2022,64,170.0751,52.1258,0.0025,2897.9412,141023232,4032
neji,8,2.7797,0.7842,0.0002,6.1747,41216,56
neji,16,5.5166,1.6697,0.0004,24.6894,330240,240
neji,32,10.5488,3.4650,0.0005,96.2577,2634752,992
neji,64,19.8959,7.5163,0.0008,363.8427,21030912,4032
