protocol,n,threshold,malicious_spec,latency_ms,seed,samples,deal_ms,verify_ms,complaint_ms,keygen_ms,pattern,wall_ms,messages,bytes,rounds,faulty,complaints,qual,reconstructed_ok,padded
neji,32,16,"none",0,7,2,11.1515,3.4032,0.0007,102.8583,broadcast,1.8320,992,2634752,1,"",0,32,true,false
neji,32,16,"none",50,7,2,10.1670,3.3836,0.0006,97.2703,broadcast,52.7147,992,2634752,1,"",0,32,true,false
neji,32,16,"none",100,7,2,10.2887,3.3231,0.0005,93.5939,broadcast,101.8394,992,2634752,1,"",0,32,true,false
neji,32,16,"none",200,7,2,10.5507,3.4223,0.0006,94.2184,broadcast,201.9570,992,2634752,1,"",0,32,true,false
gurkan,32,16,"none",0,7,2,34.2549,174.6279,0.0000,13.4542,tree,5.6723,31,176576,5,"",0,32,true,false
gurkan,32,16,"none",50,7,2,33.0097,167.3752,0.0000,12.7087,tree,255.3011,31,176576,5,"",0,32,true,false
gurkan,32,16,"none",100,7,2,35.0596,167.8825,0.0000,12.8205,tree,505.4230,31,176576,5,"",0,32,true,false
gurkan,32,16,"none",200,7,2,34.6810,178.3483,0.0000,13.6122,tree,1006.5951,31,176576,5,"",0,32,true,false
btsof,32,16,"none",0,7,2,64.9278,19.2381,0.0009,476.0897,broadcast,1.4428,992,13364224,1,"",0,32,true,false
btsof,32,16,"none",50,7,2,64.0237,18.9314,0.0010,480.6850,broadcast,52.5324,992,13364224,1,"",0,32,true,false
btsof,32,16,"none",100,7,2,64.8707,18.8931,0.0010,475.6676,broadcast,102.1937,992,13364224,1,"",0,32,true,false
btsof,32,16,"none",200,7,2,67.3299,20.0562,0.0009,506.1118,broadcast,201.6770,992,13364224,1,"",0,32,true,false
kalai2022,32,16,"none",0,7,2,85.6297,24.8292,0.0009,750.6237,broadcast,1.8640,992,17427456,1,"",0,32,true,false
kalai2022,32,16,"none",50,7,2,85.4542,24.9105,0.0009,748.4895,broadcast,51.5402,992,17427456,1,"",0,32,true,false
kalai2022,32,16,"none",100,7,2,85.1060,24.9241,0.0009,740.3018,broadcast,101.9134,992,17427456,1,"",0,32,true,false
kalai2022,32,16,"none",200,7,2,83.7921,26.6035,0.0008,753.2978,broadcast,201.8736,992,17427456,1,"",0,32,true,false
aggregatable2025,32,16,"none",0,7,2,121.8675,187.2378,0.0007,811.7443,tree,5.8178,31,176576,5,"",0,32,true,false
aggregatable2025,32,16,"none",0,7,2,121.8675,187.2378,0.0007,811.7443,broadcast,1.3811,992,13142016,1,"",0,32,true,false
aggregatable2025,32,16,"none",50,7,2,120.9107,185.9916,0.0006,808.8970,tree,256.3238,31,176576,5,"",0,32,true,false
aggregatable2025,32,16,"none",50,7,2,120.9107,185.9916,0.0006,808.8970,broadcast,51.4976,992,13142016,1,"",0,32,true,false
aggregatable2025,32,16,"none",100,7,2,119.2574,184.4624,0.0008,794.6180,tree,505.9159,31,176576,5,"",0,32,true,false
aggregatable2025,32,16,"none",100,7,2,119.2574,184.4624,0.0008,794.6180,broadcast,101.4590,992,13142016,1,"",0,32,true,false
aggregatable2025,32,16,"none",200,7,2,127.0656,195.0028,0.0006,850.9649,tree,1005.8354,31,176576,5,"",0,32,true,false
aggregatable2025,32,16,"none",200,7,2,127.0656,195.0028,0.0006,850.9649,broadcast,201.6174,992,13142016,1,"",0,32,true,false
